Client,Project,User,29/05/17,30/05/17,31/05/17,1/06/17,2/06/17,3/06/17,4/06/17,Total
,learn web dev,Agerletti,2:15:18,3:37:04,4:07:09,6:19:16,1:58:40,3:31:32,4:03:21,25:52:20
Total:,,,2:15:18,3:37:04,4:07:09,6:19:16,1:58:40,3:31:32,4:03:21,25:52:20
