Client,Project,User,1/05/17,2/05/17,3/05/17,4/05/17,5/05/17,6/05/17,7/05/17,Total
,learn web dev,Agerletti,,5:11:19,6:34:23,4:00:11,,,6:51:38,22:37:31
,,Agerletti,,,,0:00:02,,,0:16:30,0:16:32
Total:,,,,5:11:19,6:34:23,4:00:13,,,7:08:08,22:54:03
