Client,Project,User,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,Total
,,Ngaswakefield,02:55:48,02:27:33,04:31:53,01:48:18,,08:09:43,,19:53:16
Total:,,,02:55:48,02:27:33,04:31:53,01:48:18,,08:09:43,,19:53:16
